sample,day_of_chemostat_culturing,time,light,date_time,time_num,light_num
220802_1900_RNA_A_S51_L002,1,Evening,Dark,220802_1900,1900,1
220802_1900_RNA_C_S52_L002,1,Evening,Dark,220802_1900,1900,1
220803_0700_RNA_A_S53_L002,2,Morning,Light,220803_0700,700,2
220803_0700_RNA_C_S54_L002,2,Morning,Light,220803_0700,700,2
220803_1900_RNA_A_S55_L002,2,Evening,Dark,220803_1900,1900,1
220803_1900_RNA_C_S56_L002,2,Evening,Dark,220803_1900,1900,1
220804_0700_RNA_B_S57_L002,3,Morning,Light,220804_0700,700,2
220804_0700_RNA_C_S58_L002,3,Morning,Light,220804_0700,700,2
220804_1900_RNA_A_S59_L002,3,Evening,Dark,220804_1900,1900,1
220804_1900_RNA_B_S60_L002,3,Evening,Dark,220804_1900,1900,1
220805_0700_RNA_A_S61_L002,4,Morning,Dark,220805_0700,700,1
220805_0700_RNA_B_S62_L002,4,Morning,Dark,220805_0700,700,1
220805_1900_RNA_B_S63_L002,4,Evening,Dark,220805_1900,1900,1
220805_1900_RNA_C_S64_L002,4,Evening,Dark,220805_1900,1900,1
220806_0700_RNA_A_S65_L002,5,Morning,Dark,220806_0700,700,1
220806_0700_RNA_B_S66_L002,5,Morning,Dark,220806_0700,700,1